district_char,avg_percent_meets,grant_participant,District Name,District Type,ESC Region,Enrollment,Percent Emergent Bilingual,Percent Economically Disadvantag,TEA Description,Overall Scale Score SY21_22,Overall Rating SY21_22
001902,52,0,CAYUGA ISD,INDEPENDENT,07,594,0.0134680135,0.4966329966,Rural,93,A
001903,46.2,0,ELKHART ISD,INDEPENDENT,07,1194,0.0376884422,0.5896147404,Non-metropolitan Stable,92,A
001904,66.7,0,FRANKSTON ISD,INDEPENDENT,07,802,0.0436408978,0.5885286783,Rural,92,A
001906,45,0,NECHES ISD,INDEPENDENT,07,310,0.0225806452,0.5612903226,Rural,94,A
001907,35.5,0,PALESTINE ISD,INDEPENDENT,07,3297,0.2302092812,0.8037609948,Independent Town,92,A
001908,30,0,WESTWOOD ISD,INDEPENDENT,07,1414,0.0862800566,0.7446958982,Non-metropolitan Stable,92,A
001909,39.9,0,SLOCUM ISD,INDEPENDENT,07,349,0.0171919771,0.5128939828,Rural,91,A
002901,24.5,0,ANDREWS ISD,INDEPENDENT,18,4198,0.1841353025,0.4942829919,Other Central City Suburban,91,A
003801,32.1,0,PINEYWOODS COMMUNITY ACADEMY,CHARTER,07,997,0.0651955868,0.6118355065,Charter School Districts,93,A
003902,52,0,HUDSON ISD,INDEPENDENT,07,2768,0.099349711,0.5404624277,Non-metropolitan Stable,91,A
003903,28,0,LUFKIN ISD,INDEPENDENT,07,7164,0.2706588498,0.871440536,Independent Town,91,A
003904,27.5,0,HUNTINGTON ISD,INDEPENDENT,07,1593,0.0138104206,0.5907093534,Non-metropolitan Stable,90,A
003905,36.5,1,DIBOLL ISD,INDEPENDENT,07,1669,0.1833433194,0.6800479329,Non-metropolitan Stable,92,A
003906,38.4,0,ZAVALLA ISD,INDEPENDENT,07,323,0,0.7027863777,Rural,92,A
003907,40.2,0,CENTRAL ISD,INDEPENDENT,07,1463,0.0868079289,0.6370471634,Non-metropolitan Stable,91,A
004901,29,0,ARANSAS COUNTY ISD,INDEPENDENT,02,3044,0.0568331143,0.6892247043,Non-metropolitan Stable,89,B
005901,80.4,0,ARCHER CITY ISD,INDEPENDENT,09,493,0.0223123732,0.5131845842,Rural,90,A
005902,61.7,0,HOLLIDAY ISD,INDEPENDENT,09,1137,0.0087950748,0.2242744063,Other Central City Suburban,85,B
005904,70,0,WINDTHORST ISD,INDEPENDENT,09,527,0.0967741935,0.4060721063,Rural,84,B
006902,58.7,0,CLAUDE ISD,INDEPENDENT,16,328,0.0213414634,0.3414634146,Rural,81,B
007901,33.6,0,CHARLOTTE ISD,INDEPENDENT,20,433,0.0739030023,0.6281755196,Rural,86,B
007902,39.9,1,JOURDANTON ISD,INDEPENDENT,20,1590,0.041509434,0.5761006289,Non-metropolitan Stable,82,B
007904,20.4,0,LYTLE ISD,INDEPENDENT,20,1810,0.1607734807,0.7486187845,Non-metropolitan Stable,91,A
007905,31.6,0,PLEASANTON ISD,INDEPENDENT,20,3384,0.0650118203,0.6696217494,Independent Town,90,A
007906,35.9,0,POTEET ISD,INDEPENDENT,20,1837,0.1077844311,0.754491018,Non-metropolitan Stable,72,C
008901,44.1,0,BELLVILLE ISD,INDEPENDENT,06,2251,0.1310528654,0.4686805864,Independent Town,71,C
008902,46.4,0,SEALY ISD,INDEPENDENT,06,2908,0.2379642366,0.6485557084,Independent Town,82,B
008903,35,0,BRAZOS ISD,INDEPENDENT,06,851,0.2256169213,0.6274970623,Rural,76,C
009901,34.1,1,MULESHOE ISD,INDEPENDENT,17,1347,0.3919821826,0.8953229399,Non-metropolitan Stable,94,A
010901,46.7,0,MEDINA ISD,INDEPENDENT,20,246,0.0162601626,0.6544715447,Rural,75,C
010902,38,0,BANDERA ISD,INDEPENDENT,20,2381,0.0663586728,0.5627887442,Non-metropolitan Stable,60,Not Rated: SB 1365
011901,18.7,0,BASTROP ISD,INDEPENDENT,13,12506,0.452422837,0.7661122661,Independent Town,75,C
011902,9.3,0,ELGIN ISD,INDEPENDENT,13,5404,0.4987046632,0.8018134715,Non-metropolitan Stable,82,B
011904,45,1,SMITHVILLE ISD,INDEPENDENT,13,1885,0.1114058355,0.5464190981,Non-metropolitan Stable,75,C
