year,district,dname,region,LANGUAGE,GRADE,rla_docs,rla_all_unsatgl_nm,rla_all_approgl_nm,rla_all_meetsgl_nm,rla_all_mastrgl_nm,m_docs,m_all_unsatgl_nm,m_all_approgl_nm,m_all_meetsgl_nm,m_all_mastrgl_nm
23,1902,CAYUGA ISD,7,english,3,35,7,28,16,4,35,12,23,17,3
23,1903,ELKHART ISD,7,english,3,85,20,65,40,8,85,29,56,30,9
23,1904,FRANKSTON ISD,7,english,3,62,6,56,28,5,62,7,55,41,9
23,1906,NECHES ISD,7,english,3,19,2,17,7,3,19,7,12,8,1
23,1907,PALESTINE ISD,7,english,3,214,65,149,77,18,226,76,150,77,23
23,1908,WESTWOOD ISD,7,english,3,109,50,59,30,8,109,52,57,28,7
23,1909,SLOCUM ISD,7,english,3,22,9,13,7,1,21,8,13,5,1
23,2901,ANDREWS ISD,18,english,3,269,59,210,123,34,282,71,211,112,30
23,3801,PINEYWOODS COMM,7,english,3,87,18,69,34,9,87,27,60,38,10
23,3902,HUDSON ISD,7,english,3,192,24,168,106,43,194,31,163,101,46
23,3903,LUFKIN ISD,7,english,3,504,120,384,233,77,506,166,340,190,67
23,3904,HUNTINGTON ISD,7,english,3,129,39,90,51,11,129,54,75,21,9
23,3905,DIBOLL ISD,7,english,3,107,19,88,49,15,107,32,75,32,10
23,3906,ZAVALLA ISD,7,english,3,17,2,15,11,3,17,4,13,8,2
23,3907,CENTRAL ISD,7,english,3,115,23,92,62,16,115,25,90,53,12
23,4901,ARANSAS COUNTY,2,english,3,215,92,123,66,21,215,94,121,58,19
23,5901,ARCHER CITY ISD,9,english,3,36,0,36,32,14,36,1,35,28,12
23,5902,HOLLIDAY ISD,9,english,3,78,7,71,47,26,78,15,63,33,14
23,5904,WINDTHORST ISD,9,english,3,34,4,30,23,3,34,2,32,24,10
23,6902,CLAUDE ISD,16,english,3,32,5,27,21,9,32,4,28,16,6
23,7901,CHARLOTTE ISD,20,english,3,39,15,24,13,2,39,15,24,13,2
23,7902,JOURDANTON ISD,20,english,3,104,27,77,46,15,103,31,72,34,13
23,7904,LYTLE ISD,20,english,3,137,53,84,38,6,137,64,73,20,9
23,7905,PLEASANTON ISD,20,english,3,225,73,152,83,34,227,51,176,88,31
23,7906,POTEET ISD,20,english,3,112,31,81,47,6,111,40,71,33,10
23,8901,BELLVILLE ISD,6,english,3,135,32,103,69,21,135,36,99,63,26
23,8902,SEALY ISD,6,english,3,164,37,127,80,28,184,60,124,72,29
23,8903,BRAZOS ISD,6,english,3,55,20,35,23,3,55,25,30,11,2
23,9901,MULESHOE ISD,17,english,3,100,28,72,39,18,100,26,74,37,12
23,10901,MEDINA ISD,20,english,3,14,4,10,4,2,14,5,9,4,0
23,10902,BANDERA ISD,20,english,3,161,48,113,68,23,162,70,92,46,18
23,11901,BASTROP ISD,13,english,3,846,296,550,306,106,848,341,507,246,75
23,11902,ELGIN ISD,13,english,3,288,98,190,87,33,380,156,224,80,18
23,11904,SMITHVILLE ISD,13,english,3,123,28,95,57,23,122,28,94,62,13
23,11905,MCDADE ISD,13,english,3,24,12,12,7,1,24,11,13,8,5
23,12901,SEYMOUR ISD,9,english,3,41,2,39,27,5,41,4,37,20,4
23,13801,ST MARY'S ACADE,2,english,3,51,8,43,22,9,51,12,39,16,7
23,13901,BEEVILLE ISD,2,english,3,203,49,154,86,25,203,60,143,81,38
23,13902,PAWNEE ISD,2,english,3,11,1,10,8,0,11,1,10,8,2
23,13903,PETTUS ISD,2,english,3,23,5,18,10,2,23,6,17,9,5
23,13905,SKIDMORE-TYNAN,2,english,3,63,23,40,24,11,63,21,42,25,8
23,14803,PRIORITY CHARTE,12,english,3,34,10,24,15,4,34,12,22,8,5
23,14804,ORENDA CHARTER,12,english,3,145,18,127,101,39,149,24,125,93,49
23,14901,ACADEMY ISD,12,english,3,136,21,115,75,22,137,40,97,51,21
23,14902,BARTLETT ISD,13,english,3,37,18,19,7,1,37,16,21,9,3
23,14903,BELTON ISD,12,english,3,969,203,766,486,171,1006,301,705,397,163
23,14905,HOLLAND ISD,12,english,3,47,6,41,29,14,47,3,44,30,10
23,14906,KILLEEN ISD,12,english,3,3201,798,2403,1440,479,3195,942,2253,1204,455
23,14907,ROGERS ISD,12,english,3,61,10,51,30,7,61,11,50,30,14
23,14908,SALADO ISD,12,english,3,152,28,124,74,24,153,38,115,75,26
23,14909,TEMPLE ISD,12,english,3,581,174,407,250,87,613,217,396,223,91
23,14910,TROY ISD,12,english,3,123,29,94,53,17,123,21,102,60,19
23,15802,GEORGE GERVIN A,20,english,3,28,17,11,3,1,28,19,9,1,0
23,15806,LEGACY TRADITIO,20,english,3,79,22,57,30,6,77,28,49,20,3
23,15807,SOUTHWEST PREPA,20,english,3,67,27,40,16,2,68,44,24,9,1
23,15808,INSPIRE ACADEMI,20,english,3,46,12,34,19,7,44,17,27,16,7
23,15809,BEXAR COUNTY AC,20,english,3,23,11,12,9,0,22,7,15,5,1
23,15815,HERITAGE ACADEM,20,english,3,9,5,4,2,1,9,6,3,1,1
23,15822,JUBILEE ACADEMI,20,english,3,512,196,316,163,50,510,212,298,130,43
23,15825,LIGHTHOUSE PUBL,20,english,3,33,13,20,4,1,33,19,14,5,1
23,15827,SCHOOL OF SCIEN,20,english,3,360,69,291,212,87,361,98,263,152,61
23,15828,HARMONY PUBLIC,20,english,3,278,96,182,103,39,281,105,176,84,36
23,15830,BROOKS ACADEMIE,20,english,3,226,59,167,91,29,228,89,139,67,24
23,15831,SCHOOL OF SCIEN,20,english,3,518,101,417,269,114,520,160,360,196,91
23,15834,BASIS TEXAS,20,english,3,552,34,518,424,227,552,49,503,389,230
23,15835,GREAT HEARTS TE,20,english,3,1026,182,844,579,197,1026,250,776,478,196
23,15836,ELEANOR KOLITZ,20,english,3,62,2,60,41,20,61,6,55,35,19
23,15838,COMPASS ROSE PU,20,english,3,245,105,140,62,8,241,100,141,64,15
23,15839,PROMESA ACADEMY,20,english,3,44,22,22,12,4,44,25,19,5,1
23,15841,THE GATHERING P,20,english,3,91,52,39,17,3,96,62,34,9,1
23,15842,ROYAL PUBLIC SC,20,english,3,48,21,27,17,3,48,25,23,9,1
23,15843,PRELUDE PREPARA,20,english,3,6,1,5,2,1,6,4,2,1,1
23,15844,ESSENCE PREPARA,20,english,3,12,5,7,2,0,12,7,5,2,0
23,15901,ALAMO HEIGHTS I,20,english,3,307,33,274,218,86,308,42,266,184,97
23,15904,HARLANDALE ISD,20,english,3,672,247,425,199,46,649,274,375,153,34
23,15905,EDGEWOOD ISD,20,english,3,421,219,202,85,19,509,267,242,89,19
23,15906,RANDOLPH FIELD,20,english,3,109,8,101,77,30,110,11,99,69,36
23,15907,SAN ANTONIO ISD,20,english,3,2524,1087,1437,758,258,2502,1220,1282,596,182
23,15908,SOUTH SAN ANTON,20,english,3,443,203,240,100,32,445,213,232,82,21
23,15909,SOMERSET ISD,20,english,3,240,47,193,121,53,267,54,213,134,46
23,15910,NORTH EAST ISD,20,english,3,3331,652,2679,1862,790,3302,893,2409,1502,684
23,15911,EAST CENTRAL IS,20,english,3,682,273,409,215,63,683,308,375,167,45
23,15912,SOUTHWEST ISD,20,english,3,867,263,604,370,116,865,316,549,279,96
23,15913,LACKLAND ISD,20,english,3,85,17,68,44,10,85,20,65,37,19
23,15914,FT SAM HOUSTON,20,english,3,124,14,110,86,37,124,19,105,70,32
23,15915,NORTHSIDE ISD,20,english,3,6540,1574,4966,3112,1002,6512,1966,4546,2657,1094
23,15916,JUDSON ISD,20,english,3,1688,546,1142,627,188,1684,694,990,483,161
23,15917,SOUTHSIDE ISD,20,english,3,309,96,213,114,31,308,81,227,121,43
23,16901,JOHNSON CITY IS,13,english,3,35,3,32,21,3,35,6,29,17,3
23,16902,BLANCO ISD,13,english,3,82,39,43,18,6,81,36,45,21,5
23,17901,BORDEN COUNTY I,17,english,3,16,3,13,9,2,16,2,14,9,2
23,18901,CLIFTON ISD,12,english,3,60,7,53,35,17,60,25,35,15,2
23,18902,MERIDIAN ISD,12,english,3,26,5,21,12,4,26,5,21,7,3
23,18903,MORGAN ISD,12,english,3,12,8,4,3,0,12,5,7,3,1
23,18904,VALLEY MILLS IS,12,english,3,44,8,36,17,2,44,11,33,14,1
23,18905,WALNUT SPRINGS,12,english,3,9,5,4,1,0,9,5,4,0,0
23,18906,IREDELL ISD,12,english,3,11,1,10,4,0,11,2,9,1,1
23,18907,KOPPERL ISD,12,english,3,13,4,9,4,1,13,2,11,8,2
23,18908,CRANFILLS GAP I,12,english,3,8,1,7,4,1,9,2,7,3,0
23,19901,DEKALB ISD,8,english,3,51,8,43,29,10,52,13,39,20,7
23,19902,HOOKS ISD,8,english,3,61,7,54,38,12,61,4,57,37,19
23,19903,MAUD ISD,8,english,3,33,5,28,17,8,33,9,24,18,5
23,19905,NEW BOSTON ISD,8,english,3,80,28,52,24,3,80,36,44,18,6
23,19906,REDWATER ISD,8,english,3,64,6,58,42,15,64,10,54,37,14
23,19907,TEXARKANA ISD,8,english,3,427,143,284,178,63,454,165,289,143,57
23,19908,LIBERTY-EYLAU I,8,english,3,147,57,90,50,15,147,38,109,69,29
23,19909,SIMMS ISD,8,english,3,22,1,21,15,2,23,0,23,14,4
23,19910,MALTA ISD,8,english,3,25,6,19,12,3,25,5,20,10,5
23,19911,RED LICK ISD,8,english,3,68,1,67,57,27,68,2,66,60,31
23,19912,PLEASANT GROVE,8,english,3,165,13,152,108,29,163,15,148,116,50
23,19913,HUBBARD ISD,8,english,3,0,,,,,,,,,
23,19914,LEARY ISD,8,english,3,9,1,8,5,1,9,3,6,2,0
23,20901,ALVIN ISD,4,english,3,2029,378,1651,1144,484,2055,488,1567,1020,480
23,20902,ANGLETON ISD,4,english,3,506,70,436,303,109,510,109,401,247,98
23,20904,DANBURY ISD,4,english,3,46,3,43,23,5,45,4,41,32,13
23,20905,BRAZOSPORT ISD,4,english,3,800,144,656,431,153,829,148,681,404,173
23,20906,SWEENY ISD,4,english,3,142,31,111,56,13,139,29,110,52,26
23,20907,COLUMBIA-BRAZOR,4,english,3,215,53,162,101,31,215,62,153,82,24
23,20908,PEARLAND ISD,4,english,3,1428,184,1244,980,514,1433,207,1226,898,489
23,20910,DAMON ISD,4,english,3,7,0,7,4,0,7,2,5,1,0
23,21803,BRAZOS SCHOOL F,6,english,3,27,11,16,11,5,27,12,15,6,1
23,21805,ARROW ACADEMY,6,english,3,95,23,72,44,12,95,28,67,37,14
23,21901,COLLEGE STATION,6,english,3,1015,232,783,530,230,1006,224,782,503,259
23,21902,BRYAN ISD,6,english,3,1106,313,793,454,155,1105,306,799,459,168
23,22004,TERLINGUA CSD,18,english,3,5,4,1,1,0,5,5,0,0,0
23,22901,ALPINE ISD,18,english,3,56,12,44,24,3,56,24,32,16,3
23,22902,MARATHON ISD,18,english,3,5,1,4,4,0,5,0,5,2,0
23,23902,SILVERTON ISD,16,english,3,10,2,8,7,5,10,2,8,6,5
23,24901,BROOKS COUNTY I,1,english,3,86,38,48,25,7,88,45,43,27,9
23,25901,BANGS ISD,15,english,3,46,6,40,28,14,46,4,42,29,7
23,25902,BROWNWOOD ISD,15,english,3,251,53,198,116,40,250,53,197,123,49
23,25904,BLANKET ISD,15,english,3,6,1,5,2,0,6,3,3,2,0
23,25905,MAY ISD,15,english,3,19,3,16,9,0,19,8,11,7,1
23,25906,ZEPHYR ISD,15,english,3,18,1,17,11,0,18,1,17,6,1
23,25908,BROOKESMITH ISD,15,english,3,10,4,6,3,0,10,5,5,1,0
23,25909,EARLY ISD,15,english,3,83,9,74,45,14,83,16,67,43,12
23,26901,CALDWELL ISD,6,english,3,142,38,104,64,27,141,34,107,58,25
23,26902,SOMERVILLE ISD,6,english,3,45,20,25,11,0,45,25,20,4,2
23,26903,SNOOK ISD,6,english,3,54,20,34,23,6,54,20,34,17,5
23,27903,BURNET CISD,13,english,3,229,72,157,85,18,230,83,147,63,19
23,27904,MARBLE FALLS IS,13,english,3,248,63,185,111,33,278,78,200,112,43
23,28902,LOCKHART ISD,13,english,3,361,93,268,163,51,371,108,263,125,41
23,28903,LULING ISD,13,english,3,123,31,92,54,24,123,25,98,57,29
23,28906,PRAIRIE LEA ISD,13,english,3,16,12,4,1,0,16,9,7,1,0
23,29901,CALHOUN COUNTY,3,english,3,244,39,205,146,62,244,43,201,137,45
23,30901,CROSS PLAINS IS,14,english,3,21,1,20,13,1,21,2,19,11,5
23,30902,CLYDE CISD,14,english,3,97,34,63,37,9,96,37,59,27,10
23,30903,BAIRD ISD,14,english,3,25,3,22,13,1,25,6,19,8,5
23,30906,EULA ISD,14,english,3,40,6,34,23,6,40,7,33,18,5
23,31901,BROWNSVILLE ISD,1,english,3,2209,482,1727,1145,498,2208,506,1702,1083,432
23,31903,HARLINGEN CISD,1,english,3,1088,318,770,478,178,1088,346,742,410,167
23,31905,LA FERIA ISD,1,english,3,171,33,138,90,28,170,33,137,75,30
23,31906,LOS FRESNOS CIS,1,english,3,660,121,539,390,191,659,127,532,353,136
23,31909,POINT ISABEL IS,1,english,3,128,30,98,62,21,129,34,95,41,14
23,31911,RIO HONDO ISD,1,english,3,115,39,76,47,12,115,48,67,36,7
23,31912,SAN BENITO CISD,1,english,3,614,172,442,265,91,617,167,450,224,75
23,31913,SANTA MARIA ISD,1,english,3,26,5,21,12,1,26,9,17,12,7
23,31914,SANTA ROSA ISD,1,english,3,47,22,25,13,5,47,23,24,10,0
23,32902,PITTSBURG ISD,8,english,3,183,47,136,68,21,183,63,120,38,9
